startup_name,article_summary,publication_date,year,funding_amount,funding_round_raw,funding_round,investor_names,city,canton,founded_year,employees,website,location,industry,sub_industry,business_model_type,primary_keywords,secondary_keywords
Edtech  Rflect,"2023 Founded in 2022, Rflect is pioneering a scalable solution to integrate personal development seamlessly into existing university study programs.",2023-12-08,2023,0.55M CHF,pre-seed round,Pre-Seed,,,,2022.0,,,Switzerland,Other,,Unknown,,EdTech
Coachbetter AG,"2023 In addition to its prominent investor board, which includes FIFA World Champions and professional coaches, Coachbetter has attracted Knife Capital I GmbH and Bogen & Partner Wealth Managers to join its seed Plus round.",2023-12-08,2023,,seed round,Seed,,,,2020.0,,,Switzerland,FinTech,WealthTech,Unknown,FinTech,EdTech
SUIND AG,"2023 SUIND, an Indian-Swiss startup, has secured around half a million Swiss francs (INR 5 crore) in a seed financing round led by India’s leading venture capital firm Sunicon Ventures.",2023-12-07,2023,,seed,Seed,,,,2020.0,,,Switzerland,Robotics,Drones,B2B-Hardware,Data Analytics,AgTech
Koa,2023 Swiss-Ghanaian start-up Koa raises US$ 15 million in equity in a Series B round to finance its business growth.,2023-12-06,2023,15M USD,Series B,Series B,,,,2021.0,,,Switzerland,FinTech,,Unknown,FinTech,"BioTech, ClimateTech, Manufacturing"
Emerald Technology Ventures AG,"2023 The new list of startups benefiting from the Technology Fund loan guarantee is out, comprising ten startups offering a diverse set of solutions, ranging from connected devices to energy-efficient systems and sustainable textile materials.",2023-12-05,2023,350M CHF,,Grant,,,,,,,Switzerland,BioTech,Drug Discovery,B2B-Hardware,IoT,ClimateTech
Scailyte AG,2023 Basel-based startup Scailyte has raised USD 8 million in their series A financial round.,2023-12-05,2023,8M USD,Series A,Series A,,Basel,BS,2017.0,,,Switzerland,BioTech,"Diagnostics, Oncology",Deep Tech / IP,"AI, Data Analytics, BioTech","HealthTech, EdTech"
Brightside AI,"As part of the collaboration, Brightside will have access to the Social Links platform next 5 years to train LLM models of its artificial intelligence-based human data search engine, making them more effective through the use of real-world examples.",2023-12-05,2023,1M USD,,Undisclosed,,,,2022.0,,,Switzerland,Cybersecurity,,B2B-SaaS,"AI, GenAI, SaaS, Cybersecurity",
SKOOR AG,KG mit Sitz in Würzburg hat den Schweizer IT-Lösungsanbieters SKOOR AG akquiriert.,2023-12-04,2023,,,Undisclosed,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,GenAI,
QualySense AG,"QualySense’s team, including their co-founder, joined the newly formed Ferrum Analytics and Sorting AG.",2023-12-01,2023,,seed,Seed,,,,,,,Switzerland,CleanTech,,B2B-Hardware,"AI, Robotics, Data Analytics","ClimateTech, Manufacturing, FoodTech"
Everyman Health AG,2023 Die Gesundheitsplattform für Männer sammelte in einer ersten Finanzierungsrunde 1.,2023-12-01,2023,1.4M CHF,Pre-Seed,Pre-Seed,,,,,,,Switzerland,HealthTech,,Unknown,HealthTech,
Health Yourself AG,"Gallen-based startup Health Yourself, providing a digital health care solution from testing to treatments, has finalised its seed financing round, securing an undisclosed amount.",2023-11-30,2023,,seed,Seed,,St. Gallen,SG,2020.0,,,Switzerland,B2C Tech,Logistics & Delivery,Marketplace,Logistics,HealthTech
,2023 Die Abrechnungsplattform von zevvy unterstützt das Strommanagement in Liegenschaften mit Solar- und Speicheranwendungen.,2023-11-30,2023,1.2M CHF,Seed,Seed,,Lucerne,LU,,,,Switzerland,CleanTech,Solar,Deep Tech / IP,ClimateTech,
Cradle,2023 Dutch-Swiss biotech startup Cradle has raised a $24 million in Series A funding.,2023-11-29,2023,24M USD,Series A,Series A,"Index Ventures, Kindred Capital",,,,,,Switzerland,BioTech,Antibody Therapeutics,B2B-Hardware,"GenAI, IoT, BioTech","Manufacturing, FoodTech"
Galventa AG,2023 In der gestern Abend ausgestrahlten vierten Folge von «Die Höhle der Löwen» stiessen zwei der der fünf vorgestellten Startups auf Interesse.,2023-11-29,2023,0M CHF,,Award,,,,,,,Switzerland,Other,,Unknown,,FoodTech
,"2023 Effective today, the newly launched matchmaking tool RUNWAY will support innovators seeking funding and empower investors to direct capital towards clean and efficient ventures.",2023-11-28,2023,,,Award,,,,,,,Switzerland,CleanTech,"Solar, Carbon & Offsetting",Deep Tech / IP,ClimateTech,ClimateTech
AICA SA Avelo AG InterAx Biotech AG,,2023-11-27,2023,1.5M CHF,,Award,"Schaeffler VC, Spicehaus Partners, Hightech Gr",,,2017.0,,,Switzerland,BioTech,"Drug Discovery, Diagnostics",B2B-Hardware,"Robotics, IoT, BioTech","HealthTech, Manufacturing"
Altamira Medica AG,"2023 In a strategic move to reposition its focus on its core RNA delivery technology, Altamira Technologies has sold a majority stake in its subsidiary Altamira Medica AG to a Swiss private equity investor for CHF 2 million.",2023-11-23,2023,2M CHF,,Undisclosed,,,,2024.0,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,"IoT, Logistics","BioTech, HealthTech"
Evolva SA,"2023 Evolva Holding SA, a pioneer in natural molecules and industrial biotech, faced the risk of shutting down its wholly-owned operating subsidiary, Evolva AG, due to financial difficulties.",2023-11-23,2023,20M CHF,,Award,,,,,,,Switzerland,BioTech,,Deep Tech / IP,"IoT, BioTech",Manufacturing
Alivion AG,8 million to give mobile devices a sense of smell 23.,2023-11-23,2023,3.8M CHF,,Grant,,,,,,,Switzerland,Other,,B2B-Hardware,,HealthTech
T3 Pharma for up,"2023 Boehringer Ingelheim expands its immuno-oncology portfolio with the acquisition of bacterial cancer therapy specialist T3 Pharma, a clinical stage biotech company, based in Allschwil.",2023-11-22,2023,450M CHF,,,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,IoT,BioTech
PLAKATIV.STORE GmbH,2023 Lucerne-based creative agency [COLLECTIVE] created the art marketplace PLAKATIV.,2023-11-22,2023,,,Undisclosed,,Lucerne,LU,2022.0,8.0,,Switzerland,B2C Tech,"Marketplace, E-commerce",Marketplace,,
,"2023 FOUND, a tech startup shaking up the recruitment space using artificial intelligence and data science, has raised CHF 2.",2023-11-21,2023,2.2M CHF,seed,Seed,,,,,,,Switzerland,FinTech,,B2B-Services,AI,
Biped,Biped secured funding for its business.,2023-11-21,2023,1.2M CHF,,Award,,Lausanne,VD,2021.0,,,Switzerland,BioTech,,B2B-Hardware,"BioTech, HealthTech",
DEEPLIGHT SA ProSeed Ingredients SA,2023 Deeplight designs the next generation of integrated photonic lasers for the telecoms and sensing markets and has received a Tech Seed loan from the Foundation for Technological Innovation (FIT) to enhance the robustness of its lasers.,2023-11-20,2023,0.10M CHF,Seed,Seed,,,,,,,Switzerland,FinTech,,Unknown,DeepTech,"BioTech, Manufacturing, FoodTech"
,"2023 There is a plethora of platforms to rate anything: products, services and companies from an employee perspective.",2023-11-17,2023,1M CHF,seed,Seed,,,,2017.0,,,Switzerland,Enterprise SaaS,HR Tech,B2B-SaaS,SaaS,
DIATHERIS SA EVIIVE AG Procavea Biotech AG,"2023 Powered by the Gebert Rüf Foundation, the InnoBooster program offers selected university-based high-potential projects CHF 150’000 each to accelerate their market entry.",2023-11-17,2023,,,Award,,,,2022.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,"IoT, Logistics","BioTech, HealthTech"
MPC Therapeutics SA,2023 The Fongit Innovation Fund (FIF) has awarded three Geneva-based life science projects for their groundbreaking innovations.,2023-11-16,2023,0.10M CHF,seed,Seed,,Geneva,GE,,,,Switzerland,BioTech,Oncology,Deep Tech / IP,"AI, BioTech",
Pregnolia AG,2023 Die Pregnolia AG hat eine weitere Finanzierungsrunde erfolgreich abgeschlossen.,2023-11-16,2023,2.2M CHF,,Award,,,,,,,Switzerland,FinTech,,Unknown,FinTech,BioTech
H2 Energy AG,H2 Energy Holding AG will focus on its core business and technology development.,2023-11-16,2023,62M USD,,Undisclosed,,Zurich,ZH,2014.0,,,Switzerland,CleanTech,Hydrogen,Deep Tech / IP,ClimateTech,Manufacturing
CREALOGIX Holding AG,,2023-11-16,2023,84M CHF,,,,,,,,,Switzerland,FinTech,"WealthTech, InsurTech, Banking Infrastructure",Unknown,FinTech,
Boltonshield AG,"2023 Boltonshield AG, a fast-growing Cyber Security as a Service provider from Switzerland, has acquired scanmeter, a Zurich-based start-up focussing on External Attack Surface Management (EASM) solutions.",2023-11-15,2023,,,,,Zurich,ZH,2023.0,,,Switzerland,Cybersecurity,,Unknown,Cybersecurity,
,2023 In der dritten Folge bekamen die Jung-Unternehmer mit ihrem Matcha-Kaugummi «Chew up» einen Deal.,2023-11-15,2023,0.02M CHF,,Award,,,,,,,Switzerland,FinTech,,Unknown,FinTech,
Hive-Zox,"2023 Since its inception in 2019, Hive-Zox has been on a mission to revolutionise product tracking and monitoring across logistics through its ‘Connected Monitoring as a Service (cMaaS)’ solution.",2023-11-14,2023,3M CHF,series A,Series A,,,,2019.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-SaaS,"SaaS, IoT, Data Analytics, Logistics","BioTech, Manufacturing, Cybersecurity"
Ymmunobio AG,"2023 Since its founding in 2021, Ymmunobio has been developing innovative treatments for cancer patients through new classes of antibodies.",2023-11-14,2023,,seed,Seed,,,,2021.0,,,Switzerland,BioTech,"Oncology, Antibody Therapeutics",Deep Tech / IP,"IoT, BioTech",HealthTech
,"2023 Currently, with hubs across Europe and Asia, Tenity continues to broaden its reach.",2023-11-14,2023,,,Award,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,Logistics,FinTech
Moflix AG,"2023 Moflix Group, a tech-enabler for the telco industry co-founded by serial entrepreneur Marc Degen, has raised a $3.",2023-11-13,2023,3.1M USD,Seed Round,Seed,,,,2019.0,,,Switzerland,Other,,B2B-Services,Blockchain,"BioTech, ClimateTech, Cybersecurity"
Alao AG,"2023 Swiss telecom startup alao has secured a significant convertible loan investment from prominent investors, including Peter Wuffli, the former CEO of the UBS Group.",2023-11-10,2023,4M CHF,,,,,,,,,Switzerland,FinTech,Lending,B2C,FinTech,
,"2023 In a strategic move to shape the future of European crypto tax compliance, Blockpit has take over Switzerland’s startup Accointing from its previous acquirer, Glassnode.",2023-11-10,2023,,,,,,,2020.0,,,Switzerland,FinTech,Crypto & Blockchain,Unknown,Blockchain,
SwissWinds Holding SA,2023 Die MET Green Assets Holding beteiligt sich mit 25 Prozent am Walliser SwissWinds Holding und ihren Tochtergesellschaften.,2023-11-09,2023,,,Undisclosed,,,,,,,Switzerland,CleanTech,,Deep Tech / IP,ClimateTech,ClimateTech
Anapaya,"2023 With its $2 million investment, Mysten Labs, a US-based Web3 infrastructure technology company, has entered a strategic alliance with Swiss startup Anapaya Systems.",2023-11-09,2023,2M USD,,Undisclosed,,,,,,,Switzerland,FinTech,"Banking Infrastructure, Crypto & Blockchain",Unknown,"Blockchain, FinTech","BioTech, Cybersecurity"
,"2023 Zurich-based startup rready, the provider of a corporate innovation platform to foster and de-risk innovation, has raised $4 million in its Series A round led by FYRFLY Venture Partners.",2023-11-09,2023,4M USD,Series A,Series A,FYRFLY Venture Partners,Zurich,ZH,,,,Switzerland,AI/ML,Business Intelligence,B2B-SaaS,SaaS,
Billte AG,"2023 Billte AG, a FinTech company specialising in invoicing and payment solutions, announced the closing of its financing round led by Spicehaus Partners, with SICTIC as a co-investor.",2023-11-08,2023,2M CHF,,Award,Spicehaus Partners,,,,,,Switzerland,FinTech,Payments,B2B-Services,FinTech,
,2023 Die Löwinnen und Löwen haben in der zweiten Folge wieder eine breite Palette von Geschäftsideen serviert bekommen.,2023-11-08,2023,0.24M CHF,,Undisclosed,,Basel,BS,,,,Switzerland,FinTech,,Unknown,FinTech,BioTech
Capture Media AG,2023 Das MarTech-Startup Capture Media gewinnt Syz Capital und dessen operativen Partner Saturnus Capital als Investoren.,2023-11-08,2023,,,Undisclosed,,Zurich,ZH,2016.0,,,Switzerland,Other,,Unknown,,BioTech
,2023 Nach zwei Jahren Entwicklungsphase kann Seriengründer Andy Keel nun seine Material- und Prozessinnovationen an einem Mehrfamilienhaus demonstrieren.,2023-11-07,2023,20M CHF,,Undisclosed,,,,,,,Switzerland,CleanTech,,Deep Tech / IP,ClimateTech,
CARE Preventive AG,"2023 In addition to his investment, Swiss NHL player Kevin Fiala will act as U.",2023-11-06,2023,,seed,Seed,,,,,,,Switzerland,FinTech,,Unknown,FinTech,BioTech
Wefox,2023 The insurtech company has secured USD 55 million from Deutsche Bank and Unicredit.,2023-11-03,2023,55M USD,Series D,Series D+,,,,2022.0,,,Switzerland,FinTech,"InsurTech, Lending",Unknown,FinTech,
GuestReady AG Im Back NewGreenTec GmbH,"2023 Many of the currently ongoing and closed crowdfunding campaigns have performed exceptionally, reaching beyond the funding targets.",2023-11-03,2023,1M CHF,Seed,Seed,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,,EdTech
,2023 Die Schweizer bitvoodoo ist als Projektfirma und App-Entwickler im Bereich der Collaborative Workplace Solutions tätig.,2023-11-03,2023,,,Undisclosed,,,,2008.0,50.0,,Switzerland,Other,,Unknown,,
,"2023 Sechs Startups sind angetreten, um den Löwinnen und Löwen ihre Geschäftsideen schmackhaft zu machen.",2023-11-02,2023,7.5M CHF,,Undisclosed,,,,,,,Switzerland,FinTech,,Unknown,FinTech,BioTech
Memo Therapeutics AG,2023 Memo Therapeutics develops therapeutic antibodies against virus infections and cancer.,2023-11-02,2023,25M CHF,Series C,Series C,,,,2024.0,,,Switzerland,BioTech,"Drug Discovery, Oncology, Antibody Therapeutics",Deep Tech / IP,BioTech,"HealthTech, Manufacturing"
Onena Medicines AG,7M CHF funding round to advance its novel antibody portfolio 01.,2023-11-01,2023,,,Award,Avanteca Partners,,,,,,Switzerland,BioTech,"Drug Discovery, Antibody Therapeutics",Deep Tech / IP,"BioTech, HealthTech",EdTech
Skycell AG,2023 Swiss based SkyCell AG has completed a USD 57 million equity financing round at a USD 600 million valuation with M&G Investments.,2023-11-01,2023,57M USD,Series D,Series D+,,,,,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Services,Logistics,"BioTech, HealthTech, ClimateTech"
,2023 The first cohort to benefit from FIT Impact is now known.,2023-11-01,2023,,,Award,,,,,,,Switzerland,BioTech,,B2B-Hardware,"BioTech, HealthTech",
Swiss Blue Salmon AG,2023 Die Bau- und Immobiliengruppe ERNE und das Basler Ingenieurunternehmen HOLINGER investieren in die Realisierung der schweizweit grössten land-basierte Kreislaufanlage für Zuchtlachs.,2023-10-31,2023,170M CHF,,Undisclosed,,Basel,BS,2020.0,,,Switzerland,Other,,Unknown,,
Beteiligung an der Braingroup AG,"2023 Die Netcetera AG, eine führende Schweizer Softwarefirma mit 900 Mitarbeitenden, erhöht ihre bestehende Beteiligung an der Braingroup AG und erhält damit die Mehrheit.",2023-10-31,2023,,,Undisclosed,,,,2008.0,900.0,,Switzerland,FinTech,"Payments, Banking Infrastructure",Unknown,FinTech,
,2023 Swiss pharmaceutical company Santhera has achieved a significant milestone with the U.,2023-10-31,2023,36M USD,,Undisclosed,,,,,,,Switzerland,BioTech,Drug Discovery,Deep Tech / IP,BioTech,FinTech
Spacetek Technology AG,8 million to redefine real-time analysis of gases and liquids 31.,2023-10-31,2023,5.8M CHF,seed,Seed,Swisscom Ventures,,,,,,Switzerland,Other,,Unknown,,Manufacturing
Palto Therapeutics AG,"2023 In the quest to effectively target therapeutically valuable molecules within diseased cells, Palto Therapeutics is revolutionizing treatments for cancer and beyond, all while addressing cost and toxicity concerns.",2023-10-30,2023,0.15M CHF,seed,Seed,,,,2024.0,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,Logistics,"BioTech, Manufacturing"
,"2023 The Viso Suite by the Schaffhausen-based startup Viso is a no-code all-in-one platform enabling businesses to build, deploy and operate computer vision quickly and easily with limited technical expertise.",2023-10-27,2023,,seed round,Seed,,,,2022.0,,,Switzerland,FinTech,,B2B-Hardware,FinTech,"Manufacturing, EdTech"
,"2023 Der Migros-Genossenschafts-Bundes hat entschieden, die Venture-Building-Aktivitäten von Sparrow Ventures in Zukunft nicht weiter zu finanzieren.",2023-10-27,2023,,,Undisclosed,,,,2018.0,,,Switzerland,FinTech,,Unknown,FinTech,BioTech
Resolve SA,2023 Le FONGIT Innovation Fund (FIF) soutient quatre nouvelles startups à Genève.,2023-10-27,2023,,,Award,,,,,50.0,,Switzerland,BioTech,,Deep Tech / IP,BioTech,FinTech
Memox Innovations AG,2023 Das Zürcher Startup memox hat im ersten Halbjahr 2023 14 neue Workshop- und Meetingräume eröffnet und so sein im Portfolio auf über 30 Räume in drei verschiedenen Städten vergrössert.,2023-10-26,2023,3M EUR,Series A,Series A,,Zurich,ZH,,,,Switzerland,FinTech,Banking Infrastructure,Unknown,FinTech,BioTech
PriceHubble AG,"This strategic milestone marks PriceHubble’s 6th acquisition to date, making it the leading consolidating force in Europe’s data proptech ecosystems.",2023-10-25,2023,,,Award,,,,2012.0,,,Switzerland,FinTech,"WealthTech, InsurTech, Banking Infrastructure",B2B-SaaS,"SaaS, FinTech",PropTech
Copresence AG,"2023 Copresence is a Zurich-based pioneer in digital avatar generation software, enabling the creation of photorealistic 3D avatars using just a smartphone.",2023-10-23,2023,6M USD,seed,Seed,,Zurich,ZH,,,,Switzerland,FinTech,,Unknown,FinTech,BioTech
Nanogence SA,The funds will accelerate the adoption of low-carbon technology in the construction and building industry.,2023-10-20,2023,450M EUR,,Award,"CirCap, alongside Planet First Partners, EIC Fund",,,,,,Switzerland,CleanTech,Carbon & Offsetting,Deep Tech / IP,ClimateTech,"ClimateTech, Manufacturing, PropTech"
Methanology AG,"2023 METHANOLOGY AG, based in the canton of Schaffhausen, has raised a Series A and entered a strategic partnership with Maersk Growth, the venture arm of A.",2023-10-20,2023,,Series A,Series A,,,,,,,Switzerland,CleanTech,,Deep Tech / IP,ClimateTech,ClimateTech
,Oktober 2023 strahlt der Privatsender 3+ die fünfte Staffel von «HÖHLE DER LÖWEN SCHWEIZ» aus.,2023-10-19,2023,1.3M CHF,,Undisclosed,,,,,120.0,,Switzerland,CleanTech,,Deep Tech / IP,ClimateTech,"FinTech, ClimateTech"
Cyltronic AG,2023 Das Startup Cyltronic vertreibt seine Elektrozylinder seit 2022 in acht europäischen Ländern und hat über 60 Kunden gewonnen.,2023-10-19,2023,,,Award,,,,2025.0,,,Switzerland,CleanTech,,B2B-Hardware,Robotics,
ID Watch SA,2023 Sustainable watch brand ID Genève closed a CHF 2 million seed funding round with the participation of actor and environmental advocate Leonardo DiCaprio as well as several Swiss family offices.,2023-10-18,2023,2M CHF,seed,Seed,,,,,,,Switzerland,HealthTech,,B2C,HealthTech,
Xlife Sciences AG,4D Lifetec secured funding for its business.,2023-10-18,2023,23.3M CHF,,,,,,2021.0,,,Switzerland,BioTech,"Diagnostics, Oncology",Deep Tech / IP,AI,HealthTech
,2023 Geneva-based start-up Fly-Box specializing in eco-friendly waterborne transport of goods secured one million euros in early October.,2023-10-18,2023,3M CHF,,Undisclosed,,Geneva,GE,,,,Switzerland,CleanTech,Hydrogen,Deep Tech / IP,ClimateTech,BioTech
,"2023 Cloover hat eine Software entwickelt, die es Cleantech-Unternehmen ermöglicht, ihre Produkte wie Solarpanels, Batterien oder Ladestationen im Abomodell anzubieten.",2023-10-18,2023,7M EUR,Seed,Seed,"QED, Broadhaven Ventures, dem Scout Fund von Index Ventures",,,,,,Switzerland,CleanTech,Solar,B2B-Hardware,ClimateTech,"FinTech, ClimateTech"
Udao,"0 platform focussing on skills and assessments, raised USD100k in its first presale stage, in total already over USD2 million.",2023-10-17,2023,2M USD,,Undisclosed,,,,2023.0,15.0,,Switzerland,B2C Tech,Marketplace,Marketplace,,
,"2023 Die Basler urb-x will mit vorgefertigten, intelligenten Velo-Highways den Stadtverkehr revolutionieren.",2023-10-16,2023,,,Undisclosed,,Basel,BS,,,,Switzerland,CleanTech,Solar,Deep Tech / IP,ClimateTech,
,2023 Mimix Biotherapeutics has closed a multimillion Swiss franc investment round by onboarding strategic MedTech industry-savvy investors from Asia and Europe.,2023-10-16,2023,,,Undisclosed,,,,,,,Switzerland,BioTech,,Deep Tech / IP,"IoT, BioTech","HealthTech, Manufacturing, EdTech"
Lakera AI AG,"2023 Following the closing of its $10 million round early this year, Lakera has kicked-off operations to empowers developers with 30 million+ AI attack data points to instantly secure generative AI applications in the enterprise.",2023-10-13,2023,10M USD,series A,Series A,,,,,,,Switzerland,Robotics,,B2B-Hardware,"AI, GenAI","BioTech, Manufacturing, EdTech"
,"Two medtech startups also secured innovation funding, thanks to Switzerland’s bilateral relations with South Korea or the UK.",2023-10-13,2023,0.40M CHF,,Award,,,,2018.0,,,Switzerland,BioTech,"Diagnostics, Oncology",B2B-Hardware,BioTech,"HealthTech, Manufacturing, EdTech"
EATbyalex AG,2023 Das Zürcher Startup Eat by Alex kann nach fünf Jahren organischem Wachstum mit der grossen Kelle anrühren: Das frische Kapital aus der Seed-Runde von Privatinvestoren ermöglicht den Aufbau der nötigen Strukturen für die schweizweite Expansion.,2023-10-13,2023,0.85M CHF,Seed,Seed,,Zurich,ZH,,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,Logistics,FoodTech
,"2023 In Q2 2024, a-metal will launch a pilot program to test its small-scale, affordable, and easy-to-use solution for metal 3D printing in the industry.",2023-10-12,2023,2.1M CHF,seed round,Seed,,,,,,,Switzerland,MedTech,Medical Devices,B2B-Hardware,HealthTech,"BioTech, Manufacturing, EdTech"
Khephren AG,2023 Auf ihrem Wachstumspfad hat die Wüest Partner Gruppe per 6.,2023-10-12,2023,,,Undisclosed,,Geneva,GE,2016.0,,,Switzerland,PropTech,,B2B-SaaS,"SaaS, PropTech",
Impaakt SA,2023 Geneva based Impaakt has secured close to USD 8 million in its latest successful fundraising round.,2023-10-10,2023,8M USD,,Undisclosed,,,,2018.0,,,Switzerland,CleanTech,,Deep Tech / IP,ClimateTech,"BioTech, ClimateTech"
LimmaTech Biologics AG,2023 LimmaTech is developing highly effective vaccines to stop the spread of infections such as gonorrhea and Shigella caused by emerging antimicrobial resistance.,2023-10-09,2023,33M CHF,series A,Series A,"Adjuvant Capital, AXA IM Alts, Novo Holdings REPAIR Impact Fund",,,2015.0,,,Switzerland,BioTech,,Deep Tech / IP,IoT,
Citus AG,"2023 Swiss startup CITUS, an ETH Zurich spin-off, has raised CHF 375,000 in convertible loan funds to boost the development of their skin health solution.",2023-10-06,2023,0.38M CHF,Seed,Seed,,,,2021.0,,,Switzerland,B2C Tech,Beauty & Cosmetics,B2B-Hardware,,"HealthTech, EdTech"
,earth wurde vom Switzerland Innovation Park Central gemeinsam mit privaten Investoren und der Zuger Kantonalbank gegründet.,2023-10-06,2023,undisclosed,,Undisclosed,,Zug,ZG,2021.0,,,Switzerland,FinTech,,Unknown,FinTech,BioTech
Helio AG,"2023 Helio, a Zurich-based startup pioneering a new approach to cloud computing by addressing its environmental and efficiency pitfalls, has closed a CHF 4.",2023-10-05,2023,4.7M CHF,seed round,Seed,,Zurich,ZH,2019.0,,,Switzerland,CleanTech,Carbon & Offsetting,Deep Tech / IP,ClimateTech,ClimateTech
,"2023 The newly launched venture capital firm, emma Ventures, seeks to foster diversity in the Venture Capital space.",2023-10-05,2023,2M EUR,pre-seed,Pre-Seed,,,,2011.0,,,Switzerland,HealthTech,,B2B-SaaS,SaaS,"FinTech, EdTech"
Limula SA Parithera SA Voltiris SA,"2023 Three Swiss start-ups were just granted Biopôle Start-up funding: Voltiris, Limula and Parithera.",2023-10-05,2023,3M CHF,Seed round,Seed,,,,2021.0,,,Switzerland,BioTech,"Diagnostics, Oncology",B2B-Hardware,"BioTech, HealthTech","ClimateTech, Manufacturing"
MIRO Analytical AG,2023 MIRO Analytical is forming a strategic partnership with Bruker Corporation.,2023-10-05,2023,1.7M CHF,,Undisclosed,,Zurich,ZH,,,,Switzerland,FinTech,,Unknown,DeepTech,"ClimateTech, Manufacturing"
Zurich-based startup 3db Access AG,2023 Zurich-based startup 3db Access AG is a pioneer in secured low-power Ultra-Wideband (UWB) technology and is currently a preferred IP provider for major automotive brands.,2023-10-04,2023,112M CHF,,Award,,Zurich,ZH,2022.0,200.0,,Switzerland,FinTech,Payments,B2B-Hardware,"IoT, FinTech",
SNAQ AG,"2023 SNAQ und CarbVis verfolgen beide das Ziel, Menschen mit Diabetes zu helfen, den Kohlehydrat-Gehalt von Mahlzeiten richtig einzuschätzen.",2023-10-04,2023,,,Award,,,,,,,Switzerland,Other,,B2B-Services,,
Sparta,5 million to improve market intelligence for commodity training 04.,2023-10-04,2023,17.5M USD,Series A,Series A,,,,2020.0,,,Switzerland,FinTech,,Unknown,FinTech,
Bota Systems AG,Bota Systems secured funding for its business.,2023-10-03,2023,2.5M USD,seed round,Seed,Marathon Venture Capital,Zurich,ZH,,,,Switzerland,FinTech,,B2B-Hardware,"Robotics, IoT",Manufacturing
Swiss Solar Group Youdera Group SA,"2023 In a strategic move, the Younergy Group has announced its decision to divest its Solar Installation Division to the Swiss Solar Group, in tandem with the rebranding of Younergy to Youdera.",2023-10-03,2023,,,Award,,,,2015.0,,,Switzerland,CleanTech,Solar,Deep Tech / IP,ClimateTech,ClimateTech
,2023 Im Juni hatte biGENIUS seine cloudbasierte analytische Datenautomatisierungslösung lanciert.,2023-10-03,2023,,Kapitalerhöhung,Undisclosed,,,,2011.0,,,Switzerland,B2C Tech,Logistics & Delivery,Unknown,,
Medicrops AG,"2023 Das international operierende Schweizer Health-Tech Unternehmen MediCrops Holding AG hat die Swiss Alpinopharma GmbH übernommen, die bereits erfolgreich Cannabismedikamente im deutschen Markt eingeführt hat.",2023-10-02,2023,,,,,,,,,,Switzerland,Other,,Unknown,,HealthTech
Atinary Technologies Sàrl,"2023 To accelerate R&D and the discovery of breakthrough molecules and materials, Atinary Technologies built a machine-learning-based platform that outperforms traditional trial-and-error methods.",2023-09-29,2023,5M USD,seed round,Seed,AgFund,,,2019.0,,,Switzerland,B2C Tech,Beauty & Cosmetics,B2B-Hardware,"IoT, Data Analytics","BioTech, EdTech, FoodTech"
,2023 The student-run venture capital firm S2S Ventures has this year invested in four startups from Central and East Switzerland.,2023-09-29,2023,10M CHF,pre-seed round,Pre-Seed,,,,2023.0,,,Switzerland,B2C Tech,Logistics & Delivery,B2B-Hardware,"IoT, Blockchain","FinTech, ClimateTech, EdTech"
,2023 Zwar fällte der Bundesrat 2022 einen Richtungsentscheid und begrüsste einen nationalen Innovationsfonds für Scale-ups.,2023-09-28,2023,,,Award,,,,,,,Switzerland,BioTech,,Deep Tech / IP,"BioTech, HealthTech",
Nagi Bioscience SA,"2023 Nagi Bioscience, a Swiss life sciences startup developing next-generation laboratory equipment to unlock the full potential of alternatives to animal testing, is thrilled to announce the successful closure of its Series A funding round.",2023-09-28,2023,,Series A,Series A,,,,,,,Switzerland,B2C Tech,Beauty & Cosmetics,B2C,,BioTech
,"2023 Debiopharm Innovation Fund, the strategic investment arm of Swiss biopharmaceutical company Debiopharm, with $150 million under management, launched today a seed funding initiative.",2023-09-28,2023,150M USD,seed,Seed,,,,2006.0,,,Switzerland,BioTech,"Drug Discovery, Oncology",Deep Tech / IP,"AI, BioTech","HealthTech, EdTech"
Tune Insight SA,"2023 Despite the ever increasing data-dependance for all critical business decisions, companies are prevented from collaborating on and valorizing sensitive data because of cyber risks, fear of losing competitive edge and regulatory constraints.",2023-09-28,2023,1.8M EUR,seed,Seed,,,,2021.0,,,Switzerland,BioTech,"Drug Discovery, Oncology",B2B-SaaS,"AI, Blockchain, Data Analytics, BioTech","HealthTech, EdTech, Cybersecurity"
Vivent Biosignals SA,"2023 Pymwymic, a leading impact investor, and Horticoop, a group of about 400 members active in Horticulture globally have acquired a significant new stake in Vivent to help accelerate its expansion to new markets.",2023-09-27,2023,,,Award,,,,,,,Switzerland,CleanTech,,B2B-Hardware,ClimateTech,"ClimateTech, Manufacturing, AgTech"
